
Param1,Param2,Power,Gamma Point,Harmonic Number,A1 Real,A1 Imaginary,B1 Real,B1 Imaginary,A2 Real,A2 Imaginary,B2 Real,B2 Imaginary,V1,I1,V2,I2,,,,,,,,,,,,,,,,
0.1,6,-20,3,2,1.45E-09,2.02E-10,0.0062217,0.0082401,0.00013531,-0.00021964,0.0314,0.019363,-0.3,9.31E-08,3,0.049815,,,,,,,,,,,,,,,,
0.1,6,-20,3,3,-8.43E-11,5.23E-10,-0.0030349,0.0021922,8.97E-05,9.45E-05,-0.0090083,0.0085517,-0.3,9.31E-08,3,0.049815,,,,,,,,,,,,,,,,
0.1,6,-19,3,1,0.15868,8.26E-09,-0.034945,-0.11117,0.00029684,-0.039405,0.0058804,0.34916,-0.3,1.32E-07,3,0.052699,,,,,,,,,,,,,,,,
0.1,6,-19,3,2,1.65E-09,3.22E-10,0.0066109,0.0098478,0.00016919,-0.00024329,0.03478,0.02421,-0.3,1.32E-07,3,0.052699,,,,,,,,,,,,,,,,
0.1,6,-19,3,3,-5.78E-11,6.59E-10,-0.0035875,0.0030032,0.00012028,0.00010974,-0.010466,0.011463,-0.3,1.32E-07,3,0.052699,,,,,,,,,,,,,,,,
0.1,6,-18,3,1,0.17804,8.68E-09,-0.036915,-0.12803,0.00068932,-0.041815,0.0029239,0.3706,-0.3,1.86E-07,3,0.055379,,,,,,,,,,,,,,,,
0.1,6,-18,3,2,1.79E-09,4.9E-10,0.0064776,0.011382,0.00020612,-0.00025412,0.036326,0.029491,-0.3,1.86E-07,3,0.055379,,,,,,,,,,,,,,,,
0.1,6,-18,3,3,-2.09E-11,8.43E-10,-0.0043201,0.0041091,0.00016183,0.00012985,-0.012385,0.015423,-0.3,1.86E-07,3,0.055379,,,,,,,,,,,,,,,,
0.1,6,-24,4,1,0.089231,7.14E-09,-0.033316,-0.051162,-0.055296,0.012218,0.053193,0.24912,-0.3,2.27E-09,3,0.037687,,,,,,,,,,,,,,,,
0.1,6,-24,4,2,4.09E-10,6.4E-11,0.0017214,0.0023636,3.94E-05,-6.15E-05,0.0087965,0.0056361,-0.3,2.27E-09,3,0.037687,,,,,,,,,,,,,,,,
0.1,6,-24,4,3,-1.1E-11,9.9E-11,-0.00054979,0.00044007,1.77E-05,1.69E-05,-0.0016128,0.0016904,-0.3,2.27E-09,3,0.037687,,,,,,,,,,,,,,,,
0.1,6,-23,4,1,0.10012,7.85E-09,-0.036737,-0.058402,-0.060927,0.013178,0.057331,0.27448,-0.3,8.21E-09,3,0.038888,,,,,,,,,,,,,,,,
0.1,6,-23,4,2,5.24E-10,1.07E-10,0.0020834,0.0031577,5.46E-05,-7.72E-05,0.011032,0.0078103,-0.3,8.21E-09,3,0.038888,,,,,,,,,,,,,,,,
0.1,6,-23,4,3,2.83E-12,1.54E-10,-0.00075546,0.00078412,3.06E-05,2.24E-05,-0.0021368,0.0029127,-0.3,8.21E-09,3,0.038888,,,,,,,,,,,,,,,,
0.1,6,-22,4,1,0.11233,8.52E-09,-0.040118,-0.067316,-0.066407,0.013803,0.05997,0.29916,-0.3,2.05E-08,3,0.040342,,,,,,,,,,,,,,,,
0.1,6,-22,4,2,6.68E-10,1.89E-10,0.0023978,0.0042874,7.8E-05,-9.47E-05,0.013543,0.011163,-0.3,2.05E-08,3,0.040342,,,,,,,,,,,,,,,,
0.1,6,-22,4,3,4.1E-11,2.51E-10,-0.0010488,0.0014554,5.51E-05,2.94E-05,-0.002804,0.0052498,-0.3,2.05E-08,3,0.040342,,,,,,,,,,,,,,,,
0.1,6,-21,4,1,0.12604,9.1E-09,-0.043297,-0.07831,-0.071469,0.013963,0.060527,0.32193,-0.3,4.1E-08,3,0.041934,,,,,,,,,,,,,,,,
0.1,6,-21,4,2,8.12E-10,3.24E-10,0.0024401,0.0056862,0.0001102,-0.00010843,0.015498,0.015765,-0.3,4.1E-08,3,0.041934,,,,,,,,,,,,,,,,
0.1,6,-21,4,3,1.11E-10,3.99E-10,-0.001446,0.0025495,9.47E-05,3.8E-05,-0.0036256,0.0090229,-0.3,4.1E-08,3,0.041934,,,,,,,,,,,,,,,,
0.1,6,-20,4,1,0.14142,9.6E-09,-0.046151,-0.091572,-0.07601,0.013711,0.059248,0.34235,-0.3,7.05E-08,3,0.043518,,,,,,,,,,,,,,,,
0.1,6,-20,4,2,9.16E-10,5.12E-10,0.0020209,0.0071355,0.00014774,-0.00011183,0.015982,0.021134,-0.3,7.05E-08,3,0.043518,,,,,,,,,,,,,,,,
0.1,6,-20,4,3,1.96E-10,6.08E-10,-0.0020581,0.004018,0.00014816,5.23E-05,-0.0049881,0.014122,-0.3,7.05E-08,3,0.043518,,,,,,,,,,,,,,,,
0.1,6,-19,4,1,0.15868,1E-08,-0.048575,-0.10719,-0.080011,0.013198,0.056813,0.36033,-0.3,1.21E-07,3,0.045048,,,,,,,,,,,,,,,,
0.1,6,-19,4,2,9.62E-10,7.31E-10,0.001147,0.0084615,0.00018654,-0.00010352,0.014792,0.026682,-0.3,1.21E-07,3,0.045048,,,,,,,,,,,,,,,,
0.1,6,-19,4,3,2.65E-10,8.71E-10,-0.0030299,0.0056831,0.00021011,7.8E-05,-0.007446,0.020028,-0.3,1.21E-07,3,0.045048,,,,,,,,,,,,,,,,
